trajectory,tau_ms,v_star_used_mps,N_agents,troll_ratio,MC_index,per_run_gamma_mean,per_run_gamma_std,per_run_rmse_m
Circle,433,2.03,150,0.05,1,0.940451,0.017589,0.240829
Circle,433,2.03,150,0.05,2,0.938213,0.018210,0.252613
Circle,433,2.03,150,0.05,3,0.938865,0.019749,0.244984
Circle,433,2.03,150,0.05,4,0.939575,0.019574,0.238967
Circle,433,2.03,150,0.05,5,0.940256,0.018675,0.241652
Circle,433,2.03,150,0.05,6,0.940049,0.018162,0.241595
Circle,433,2.03,150,0.05,7,0.937710,0.020942,0.248278
Circle,433,2.03,150,0.05,8,0.939657,0.018623,0.248807
Circle,433,2.03,150,0.05,9,0.940643,0.020145,0.249616
Circle,433,2.03,150,0.05,10,0.938757,0.020529,0.248112
Circle,433,2.03,150,0.05,11,0.939429,0.017377,0.251848
Circle,433,2.03,150,0.05,12,0.939830,0.019243,0.249261
Circle,433,2.03,150,0.05,13,0.939525,0.017431,0.247084
Circle,433,2.03,150,0.05,14,0.940716,0.017181,0.245467
Circle,433,2.03,150,0.05,15,0.940099,0.017182,0.237594
Square,433,1.117,150,0.05,1,0.939122,0.016769,0.051880
Square,433,1.117,150,0.05,2,0.942336,0.015303,0.053103
Square,433,1.117,150,0.05,3,0.941766,0.015146,0.048280
Square,433,1.117,150,0.05,4,0.942422,0.016745,0.050937
Square,433,1.117,150,0.05,5,0.942085,0.015301,0.057111
Square,433,1.117,150,0.05,6,0.942504,0.015327,0.052549
Square,433,1.117,150,0.05,7,0.941821,0.016384,0.052509
Square,433,1.117,150,0.05,8,0.942673,0.016375,0.054243
Square,433,1.117,150,0.05,9,0.942010,0.017111,0.060740
Square,433,1.117,150,0.05,10,0.941716,0.016521,0.048819
Square,433,1.117,150,0.05,11,0.940423,0.014280,0.062447
Square,433,1.117,150,0.05,12,0.941411,0.015362,0.053298
Square,433,1.117,150,0.05,13,0.940930,0.014992,0.052069
Square,433,1.117,150,0.05,14,0.942709,0.015974,0.053931
Square,433,1.117,150,0.05,15,0.941306,0.015577,0.050216
Ellipse,433,1.606,150,0.05,1,0.934865,0.023012,0.206981
Ellipse,433,1.606,150,0.05,2,0.934843,0.023831,0.209056
Ellipse,433,1.606,150,0.05,3,0.935600,0.023282,0.206602
Ellipse,433,1.606,150,0.05,4,0.935292,0.022636,0.207310
Ellipse,433,1.606,150,0.05,5,0.936051,0.023878,0.205307
Ellipse,433,1.606,150,0.05,6,0.934425,0.022379,0.217256
Ellipse,433,1.606,150,0.05,7,0.934590,0.022258,0.198986
Ellipse,433,1.606,150,0.05,8,0.935365,0.020821,0.207847
Ellipse,433,1.606,150,0.05,9,0.934215,0.023805,0.200209
Ellipse,433,1.606,150,0.05,10,0.934931,0.023786,0.206482
Ellipse,433,1.606,150,0.05,11,0.936028,0.023285,0.204818
Ellipse,433,1.606,150,0.05,12,0.935555,0.024026,0.210723
Ellipse,433,1.606,150,0.05,13,0.933215,0.022983,0.206964
Ellipse,433,1.606,150,0.05,14,0.935017,0.022333,0.207348
Ellipse,433,1.606,150,0.05,15,0.935528,0.022957,0.207985
Suzuka,433,1.409,150,0.05,1,0.934992,0.024051,0.251203
Suzuka,433,1.409,150,0.05,2,0.934786,0.022901,0.240560
Suzuka,433,1.409,150,0.05,3,0.934520,0.024992,0.238611
Suzuka,433,1.409,150,0.05,4,0.932128,0.025149,0.240020
Suzuka,433,1.409,150,0.05,5,0.935728,0.024603,0.245919
Suzuka,433,1.409,150,0.05,6,0.933018,0.023197,0.241606
Suzuka,433,1.409,150,0.05,7,0.932996,0.025964,0.239165
Suzuka,433,1.409,150,0.05,8,0.934563,0.023412,0.237900
Suzuka,433,1.409,150,0.05,9,0.931862,0.025560,0.240302
Suzuka,433,1.409,150,0.05,10,0.933756,0.024598,0.249154
Suzuka,433,1.409,150,0.05,11,0.933534,0.023605,0.242859
Suzuka,433,1.409,150,0.05,12,0.934201,0.025008,0.245597
Suzuka,433,1.409,150,0.05,13,0.936092,0.025314,0.249006
Suzuka,433,1.409,150,0.05,14,0.934689,0.022657,0.264291
Suzuka,433,1.409,150,0.05,15,0.934010,0.023865,0.230245
