x,y
1759.0,-913.0
1895.0,-1072.0
2011.0,-1207.0
2128.0,-1344.0
2246.0,-1482.0
2354.0,-1609.0
2408.0,-1672.0
2506.0,-1786.0
2627.0,-1928.0
2716.0,-2031.0
2918.0,-2267.0
2985.0,-2346.0
3236.0,-2639.0
3327.0,-2746.0
3488.0,-2934.0
3685.0,-3164.0
3910.0,-3428.0
4047.0,-3590.0
4163.0,-3728.0
4434.0,-4046.0
4528.0,-4158.0
4754.0,-4422.0
4825.0,-4506.0
4968.0,-4673.0
5192.0,-4935.0
5347.0,-5119.0
5454.0,-5246.0
5562.0,-5373.0
5751.0,-5604.0
5853.0,-5734.0
5903.0,-5805.0
6032.0,-6121.0
6046.0,-6440.0
5992.0,-6685.0
5947.0,-6844.0
5891.0,-6984.0
5808.0,-7109.0
5740.0,-7174.0
5571.0,-7267.0
5485.0,-7292.0
5369.0,-7307.0
5205.0,-7299.0
5102.0,-7273.0
5021.0,-7240.0
4937.0,-7189.0
4874.0,-7138.0
4802.0,-7061.0
4680.0,-6889.0
4612.0,-6778.0
4564.0,-6698.0
4511.0,-6605.0
4390.0,-6390.0
4315.0,-6258.0
4213.0,-6093.0
4161.0,-6017.0
4005.0,-5816.0
3873.0,-5680.0
3732.0,-5574.0
3648.0,-5528.0
3547.0,-5488.0
3383.0,-5451.0
3254.0,-5438.0
3095.0,-5428.0
2970.0,-5413.0
2804.0,-5366.0
2710.0,-5318.0
2411.0,-5007.0
2314.0,-4718.0
2267.0,-4552.0
2241.0,-4463.0
2208.0,-4347.0
2109.0,-4107.0
1990.0,-3965.0
1921.0,-3904.0
1675.0,-3765.0
1539.0,-3728.0
1422.0,-3712.0
1288.0,-3703.0
1143.0,-3696.0
972.0,-3681.0
800.0,-3646.0
709.0,-3614.0
503.0,-3497.0
406.0,-3417.0
287.0,-3290.0
178.0,-3110.0
136.0,-2981.0
122.0,-2822.0
151.0,-2668.0
187.0,-2568.0
311.0,-2265.0
385.0,-2079.0
447.0,-1901.0
471.0,-1741.0
